time,pitch,pitch_filt
1.780,2.0419, 1.9942
1.784,2.0524, 2.0094
1.788,2.0623, 2.0230
1.792,2.0718, 2.0353
1.796,2.0818, 2.0465
1.800,2.0900, 2.0568
1.804,2.0983, 2.0665
1.808,2.1069, 2.0758
1.812,2.1141, 2.0846
1.816,2.1216, 2.0931
1.820,2.1299, 2.1011
1.824,2.1382, 2.1091
1.828,2.1465, 2.1169
1.832,2.1557, 2.1248
1.836,2.1656, 2.1331
1.840,2.1744, 2.1418
1.844,2.1862, 2.1507
1.848,2.1969, 2.1602
1.852,2.2100, 2.1702
1.856,2.2221, 2.1809
1.860,2.2358, 2.1922
1.864,2.2506, 2.2044
1.868,2.2643, 2.2171
1.872,2.2811, 2.2306
1.876,2.2963, 2.2447
1.880,2.3130, 2.2595
1.884,2.3297, 2.2748
1.888,2.3473, 2.2907
1.892,2.3648, 2.3071
1.896,2.3815, 2.3238
1.900,2.3997, 2.3409
1.904,2.4161, 2.3581
1.908,2.4330, 2.3754
1.912,2.4496, 2.3925
1.916,2.4663, 2.4095
1.920,2.4798, 2.4263
1.924,2.4965, 2.4426
1.928,2.5102, 2.4586
1.932,2.5246, 2.4740
1.936,2.5380, 2.4890
1.940,2.5541, 2.5035
1.944,2.5671, 2.5180
1.948,2.5822, 2.5322
1.952,2.5977, 2.5466
1.956,2.6116, 2.5611
1.960,2.6253, 2.5758
1.964,2.6398, 2.5902
1.968,2.6534, 2.6047
1.972,2.6671, 2.6188
1.976,2.6806, 2.6327
1.980,2.6948, 2.6465
1.984,2.7103, 2.6603
1.988,2.7250, 2.6743
1.992,2.7399, 2.6885
1.996,2.7553, 2.7031
2.000,2.7706, 2.7180
2.004,2.7855, 2.7331
2.008,2.8015, 2.7482
2.012,2.8154, 2.7634
2.016,2.8301, 2.7785
2.020,2.8446, 2.7935
2.024,2.8562, 2.8082
2.028,2.8712, 2.8225
2.032,2.8815, 2.8363
2.036,2.8930, 2.8497
2.040,2.9034, 2.8623
2.044,2.9125, 2.8741
2.048,2.9211, 2.8854
2.052,2.9284, 2.8954
2.056,2.9354, 2.9049
2.060,2.9408, 2.9134
2.064,2.9459, 2.9209
2.068,2.9511, 2.9277
2.072,2.9558, 2.9337
2.076,2.9598, 2.9391
2.080,2.9648, 2.9441
2.084,2.9699, 2.9489
2.088,2.9747, 2.9536
2.092,2.9806, 2.9583
2.096,2.9891, 2.9633
2.100,2.9983, 2.9689
2.104,3.0086, 2.9754
2.108,3.0210, 2.9830
2.112,3.0350, 2.9922
2.116,3.0492, 3.0028
2.120,3.0662, 3.0148
2.124,3.0808, 3.0281
2.128,3.1005, 3.0427
2.132,3.1180, 3.0583
2.136,3.1393, 3.0749
2.140,3.1586, 3.0926
2.144,3.1829, 3.1112
2.148,3.2061, 3.1312
2.152,3.2297, 3.1522
2.156,3.2564, 3.1745
2.160,3.2820, 3.1978
2.164,3.3095, 3.2223
2.168,3.3364, 3.2475
2.172,3.3650, 3.2736
2.176,3.3938, 3.3005
2.180,3.4222, 3.3278
2.184,3.4512, 3.3558
2.188,3.4812, 3.3842
2.192,3.5111, 3.4129
2.196,3.5400, 3.4420
2.200,3.5703, 3.4713
2.204,3.6008, 3.5009
2.208,3.6298, 3.5306
2.212,3.6604, 3.5603
2.216,3.6922, 3.5902
2.220,3.7250, 3.6204
2.224,3.7536, 3.6510
2.228,3.7919, 3.6820
2.232,3.8229, 3.7138
2.236,3.8576, 3.7463
2.240,3.8937, 3.7793
2.244,3.9289, 3.8130
2.248,3.9658, 3.8477
2.252,4.0028, 3.8825
2.256,4.0403, 3.9183
2.260,4.0789, 3.9547
2.264,4.1174, 3.9916
2.268,4.1571, 4.0292
2.272,4.1984, 4.0674
2.276,4.2390, 4.1063
2.280,4.2814, 4.1459
2.284,4.3225, 4.1862
2.288,4.3647, 4.2272
2.292,4.4063, 4.2686
2.296,4.4493, 4.3102
2.300,4.4928, 4.3521
2.304,4.5361, 4.3942
2.308,4.5801, 4.4368
2.312,4.6238, 4.4797
2.316,4.6685, 4.5232
2.320,4.7159, 4.5669
2.324,4.7567, 4.6111
2.328,4.8073, 4.6556
2.332,4.8515, 4.7005
2.336,4.8975, 4.7459
2.340,4.9426, 4.7916
2.344,4.9874, 4.8372
2.348,5.0327, 4.8831
2.352,5.0757, 4.9281
2.356,5.1198, 4.9729
2.360,5.1623, 5.0173
2.364,5.2044, 5.0612
2.368,5.2458, 5.1046
2.372,5.2863, 5.1472
2.376,5.3260, 5.1893
2.380,5.3633, 5.2305
2.384,5.4012, 5.2708
2.388,5.4375, 5.3101
2.392,5.4718, 5.3484
2.396,5.5063, 5.3856
2.400,5.5407, 5.4217
2.404,5.5736, 5.4570
2.408,5.6053, 5.4915
2.412,5.6381, 5.5252
2.416,5.6696, 5.5583
2.420,5.6987, 5.5908
2.424,5.7321, 5.6227
2.428,5.7568, 5.6540
2.432,5.7878, 5.6847
2.436,5.8145, 5.7145
2.440,5.8413, 5.7435
2.444,5.8684, 5.7719
2.448,5.8948, 5.7993
2.452,5.9241, 5.8268
2.456,5.9536, 5.8538
2.460,5.9846, 5.8814
2.464,6.0170, 5.9099
2.468,6.0514, 5.9395
2.472,6.0867, 5.9706
2.476,6.1236, 6.0029
2.480,6.1625, 6.0368
2.484,6.2019, 6.0721
2.488,6.2429, 6.1089
2.492,6.2850, 6.1470
2.496,6.3271, 6.1865
2.500,6.3707, 6.2271
2.504,6.4149, 6.2686
2.508,6.4612, 6.3111
2.512,6.5082, 6.3545
2.516,6.5579, 6.3989
2.520,6.6077, 6.4448
2.524,6.6609, 6.4920
2.528,6.7089, 6.5407
2.532,6.7671, 6.5906
2.536,6.8173, 6.6418
2.540,6.8727, 6.6937
2.544,6.9261, 6.7464
2.548,6.9829, 6.7996
2.552,7.0382, 6.8539
2.556,7.0939, 6.9081
2.560,7.1524, 6.9633
2.564,7.2101, 7.0190
2.568,7.2681, 7.0755
2.572,7.3260, 7.1325
2.576,7.3858, 7.1900
2.580,7.4452, 7.2481
2.584,7.5038, 7.3065
2.588,7.5649, 7.3652
2.592,7.6238, 7.4243
2.596,7.6848, 7.4838
2.600,7.7448, 7.5434
2.604,7.8035, 7.6032
2.608,7.8623, 7.6631
2.612,7.9214, 7.7226
2.616,7.9797, 7.7819
2.620,8.0375, 7.8407
2.624,8.0990, 7.8993
2.628,8.1498, 7.9579
2.632,8.2137, 8.0160
2.636,8.2672, 8.0739
2.640,8.3226, 8.1313
2.644,8.3798, 8.1884
2.648,8.4355, 8.2446
2.652,8.4910, 8.3013
2.656,8.5444, 8.3567
2.660,8.5998, 8.4123
2.664,8.6536, 8.4676
2.668,8.7068, 8.5222
2.672,8.7624, 8.5765
2.676,8.8153, 8.6305
2.680,8.8684, 8.6845
2.684,8.9214, 8.7383
2.688,8.9724, 8.7918
2.692,9.0246, 8.8449
2.696,9.0742, 8.8972
2.700,9.1223, 8.9489
2.704,9.1719, 8.9998
2.708,9.2188, 9.0498
2.712,9.2643, 9.0989
2.716,9.3095, 9.1470
2.720,9.3545, 9.1941
2.724,9.3998, 9.2404
2.728,9.4392, 9.2857
2.732,9.4861, 9.3303
2.736,9.5250, 9.3742
2.740,9.5680, 9.4174
2.744,9.6091, 9.4600
2.748,9.6512, 9.5020
2.752,9.6931, 9.5440
2.756,9.7363, 9.5855
2.760,9.7799, 9.6275
2.764,9.8217, 9.6697
2.768,9.8652, 9.7122
2.772,9.9083, 9.7549
2.776,9.9521, 9.7978
2.780,9.9962, 9.8408
2.784,10.0408, 9.8840
2.788,10.0848, 9.9276
2.792,10.1292, 9.9715
2.796,10.1734, 10.0156
2.800,10.2176, 10.0598
2.804,10.2595, 10.1039
2.808,10.3029, 10.1478
2.812,10.3437, 10.1913
2.816,10.3841, 10.2342
2.820,10.4220, 10.2763
2.824,10.4589, 10.3173
2.828,10.4958, 10.3572
2.832,10.5270, 10.3957
2.836,10.5613, 10.4327
2.840,10.5917, 10.4680
2.844,10.6204, 10.5020
2.848,10.6505, 10.5344
2.852,10.6773, 10.5653
2.856,10.7062, 10.5954
2.860,10.7319, 10.6242
2.864,10.7590, 10.6524
2.868,10.7855, 10.6800
2.872,10.8118, 10.7070
2.876,10.8373, 10.7338
2.880,10.8646, 10.7601
2.884,10.8913, 10.7865
2.888,10.9180, 10.8128
2.892,10.9476, 10.8393
2.896,10.9750, 10.8663
2.900,11.0049, 10.8938
2.904,11.0340, 10.9217
2.908,11.0659, 10.9502
2.912,11.0971, 10.9795
2.916,11.1293, 11.0093
2.920,11.1638, 11.0401
2.924,11.1988, 11.0717
2.928,11.2357, 11.1044
2.932,11.2707, 11.1381
2.936,11.3146, 11.1730
2.940,11.3537, 11.2094
2.944,11.3981, 11.2473
2.948,11.4448, 11.2869
2.952,11.4911, 11.3285
2.956,11.5413, 11.3722
2.960,11.5906, 11.4174
2.964,11.6416, 11.4646
2.968,11.6918, 11.5131
2.972,11.7435, 11.5625
2.976,11.7933, 11.6127
2.980,11.8441, 11.6631
2.984,11.8926, 11.7137
2.988,11.9424, 11.7640
2.992,11.9914, 11.8140
2.996,12.0383, 11.8634
3.000,12.0860, 11.9124
3.004,12.1329, 11.9608
3.008,12.1795, 12.0087
3.012,12.2252, 12.0560
3.016,12.2710, 12.1028
3.020,12.3142, 12.1492
3.024,12.3591, 12.1950
3.028,12.4047, 12.2402
