time,label,pitch,filtered
7.312,[kmtcs],2.7657, 2.7649
7.316,[kmtcs],2.7919, 2.7684
7.320,[kmtcs],2.7517, 2.7669
7.324,[kmtcs],2.7862, 2.7705
7.328,[kmtcs],2.7409, 2.7655
7.332,[kmtcs],2.7561, 2.7637
7.336,[kmtcs],2.7535, 2.7598
7.340,[kmtcs],2.7465, 2.7523
7.344,[kmtcs],2.7195, 2.7492
7.348,[kmtcs],2.7433, 2.7409
7.352,[kmtcs],2.7085, 2.7372
7.356,[kmtcs],2.7503, 2.7302
7.360,[kmtcs],2.7143, 2.7253
7.364,[kmtcs],2.7154, 2.7221
7.368,[kmtcs],2.7236, 2.7216
7.372,[kmtcs],2.6975, 2.7170
7.376,[kmtcs],2.7184, 2.7150
7.380,[kmtcs],2.6696, 2.7071
7.384,[kmtcs],2.6843, 2.7019
7.388,[kmtcs],2.6739, 2.6939
7.392,[kmtcs],2.6616, 2.6835
7.396,[kmtcs],2.6511, 2.6754
7.400,[kmtcs],2.6484, 2.6645
7.404,[kmtcs],2.6216, 2.6582
7.408,[kmtcs],2.6370, 2.6477
7.412,[kmtcs],2.6132, 2.6381
7.416,[kmtcs],2.6093, 2.6293
7.420,[kmtcs],2.5926, 2.6207
7.424,[kmtcs],2.5939, 2.6113
7.428,[kmtcs],2.5911, 2.6038
7.432,[kmtcs],2.5646, 2.5939
7.436,[kmtcs],2.5790, 2.5866
7.440,[kmtcs],2.5693, 2.5794
7.444,[kmtcs],2.5543, 2.5735
7.448,[kmtcs],2.5622, 2.5671
7.452,[kmtcs],2.5536, 2.5612
7.456,[kmtcs],2.5274, 2.5574
7.460,[kmtcs],2.5368, 2.5500
7.464,[kmtcs],2.5121, 2.5423
7.468,[kmtcs],2.5231, 2.5343
7.472,[kmtcs],2.5008, 2.5246
7.476,[kmtcs],2.4974, 2.5159
7.480,[kmtcs],2.5039, 2.5097
7.484,[kmtcs],2.4728, 2.5017
7.488,[kmtcs],2.4971, 2.4959
7.492,[kmtcs],2.4812, 2.4890
7.496,[kmtcs],2.4687, 2.4848
7.500,[kmtcs],2.4865, 2.4806
7.504,[kmtcs],2.4727, 2.4762
7.508,[kmtcs],2.4560, 2.4749
7.512,[kmtcs],2.4813, 2.4699
7.516,[kmtcs],2.4477, 2.4670
7.520,[kmtcs],2.4657, 2.4643
7.524,[kmtcs],2.4536, 2.4594
7.528,[kmtcs],2.4564, 2.4565
7.532,[kmtcs],2.4579, 2.4551
7.536,[kmtcs],2.4372, 2.4509
7.540,[kmtcs],2.4675, 2.4506
7.544,[kmtcs],2.4547, 2.4484
7.548,[kmtcs],2.4539, 2.4486
7.552,[kmtcs],2.4653, 2.4493
7.556,[kmtcs],2.4689, 2.4510
7.560,[kmtcs],2.4461, 2.4548
7.564,[kmtcs],2.4781, 2.4545
7.568,[kmtcs],2.4593, 2.4564
7.572,[kmtcs],2.4717, 2.4581
7.576,[kmtcs],2.4718, 2.4590
7.580,[kmtcs],2.4774, 2.4607
7.584,[kmtcs],2.5017, 2.4659
7.588,[kmtcs],2.4702, 2.4687
7.592,[kmtcs],2.4958, 2.4744
7.596,[kmtcs],2.4943, 2.4784
7.600,[kmtcs],2.4943, 2.4820
7.604,[kmtcs],2.5104, 2.4852
7.608,[kmtcs],2.4999, 2.4872
7.612,[kmtcs],2.5043, 2.4933
7.616,[kmtcs],2.5239, 2.4961
7.620,[kmtcs],2.5240, 2.5002
7.624,[kmtcs],2.5248, 2.5055
7.628,[kmtcs],2.5334, 2.5102
7.632,[kmtcs],2.5451, 2.5170
7.636,[kmtcs],2.5585, 2.5239
7.640,[kmtcs],2.5455, 2.5298
7.644,[kmtcs],2.5616, 2.5367
7.648,[kmtcs],2.5758, 2.5438
7.652,[kmtcs],2.5749, 2.5504
7.656,[kmtcs],2.5880, 2.5567
7.660,[kmtcs],2.5863, 2.5633
7.664,[kmtcs],2.6005, 2.5720
7.668,[kmtcs],2.6087, 2.5789
7.672,[kmtcs],2.6069, 2.5851
7.676,[kmtcs],2.6159, 2.5922
7.680,[kmtcs],2.6212, 2.5982
7.684,[kmtcs],2.6285, 2.6046
7.688,[kmtcs],2.6073, 2.6092
7.692,[kmtcs],2.6436, 2.6125
7.696,[kmtcs],2.6164, 2.6161
7.700,[kmtcs],2.6088, 2.6175
7.704,[kmtcs],2.6140, 2.6168
7.708,[kmtcs],2.6170, 2.6141
7.712,[kmtcs],2.5957, 2.6125
7.716,[kmtcs],2.6136, 2.6063
7.720,[kmtcs],2.5811, 2.6038
7.724,[kmtcs],2.5989, 2.6005
7.728,[kmtcs],2.5937, 2.5957
7.732,[kmtcs],2.5671, 2.5904
7.736,[kmtcs],2.6085, 2.5873
7.740,[kmtcs],2.5545, 2.5826
7.744,[kmtcs],2.5965, 2.5810
7.748,[kmtcs],2.5536, 2.5770
7.752,[kmtcs],2.5609, 2.5726
7.756,[kmtcs],2.5432, 2.5691
7.760,[kmtcs],2.5616, 2.5592
7.764,[kmtcs],2.4951, 2.5545
7.768,[kmtcs],2.5429, 2.5424
7.772,[kmtcs],2.4906, 2.5345
7.776,[kmtcs],2.5133, 2.5233
7.780,[kmtcs],2.4884, 2.5141
7.784,[kmtcs],2.4410, 2.5017
7.788,[kmtcs],2.5149, 2.4948
7.792,[kmtcs],2.4419, 2.4816
7.796,[kmtcs],2.4683, 2.4749
7.800,[kmtcs],2.4357, 2.4658
7.804,[kmtcs],2.4528, 2.4590
7.808,[kmtcs],2.4866, 2.4567
7.812,[kmtcs],2.4734, 2.4492
7.816,[kmtcs],2.4419, 2.4548
7.820,[kmtcs],2.5230, 2.4582
7.824,[kmtcs],2.4873, 2.4672
7.828,[kmtcs],2.5023, 2.4744
7.832,[kmtcs],2.4978, 2.4799
7.836,[kmtcs],2.4798, 2.4870
7.840,[kmtcs],2.5515, 2.4948
